Card Name,Card Description,Labels,List Name,Checklist,Checklist item
"US-013 Produktadministration (Bestyrer)","Som bestyrer, ønsker jeg at kunne oprette og opdatere produkter i webshoppen, med det formål at sikre, at produktudvalget altid er aktuelt og korrekt prissat.","5 (orange)","Sprint 2",,,
,,,,"Tasks","Udvikle en brugergrænseflade for produktadministration i administrationspanelet."
,,,,"Tasks","Implementere et samlet dashboard med oversigt over alle Produkter"
,,,,"Acceptance Criteria","Givet at en bestyrer er logget ind, når de tilgår produktadministrationsmodulet, så skal de kunne tilføje nye produkter, redigere eksisterende produkter og arkivere forældede produkter."
"US-014 Ordreoversigt (medarbejder)","Som medarbejder, ønsker jeg at kunne se alle ordrer, med det formål at få et overblik over arbejdsbyrden.","3 (yellow)","Sprint 2",,,
,,,,"Tasks","Udvikle et dashboard, hvor medarbejdere kan se en liste over alle aktuelle ordrer."
,,,,"Acceptance Criteria","Givet at en medarbejder er logget ind, når de tilgår dashboardet, så skal de kunne se og sortere alle ordrer efter status, dato og andre relevante kriterier."
"US-015 Ordrehåndtering (medarbejder)","Som medarbejder, ønsker jeg at kunne se og administrere indkommende ordrer, med det formål at effektivisere processen for ordreklargøring og levering.","3 (yellow)","Sprint 2",,,
,,,,"Tasks","Implementer en administrationsside for medarbejdere til håndtering af nye ordrer."
,,,,"Acceptance Criteria","Givet at en medarbejder er logget ind, når de tilgår administrationspanelet, så skal de kunne se en liste over aktive ordrer og opdatere deres status."
"US-016 Opdatere Ordrestatus (medarbejder)","Som medarbejder, ønsker jeg at kunne opdatere ordrestatus, med det formål at tydeliggøre for alle brugere, hvor langt ordren er i processen.","3 (yellow)","Sprint 2",,,
,,,,"Tasks","Skabe en funktion, der tillader medarbejdere at opdatere status for en ordre i realtid."
,,,,"Acceptance Criteria","Givet at en ordre er i gang med at blive ekspederet, når medarbejderen opdaterer ordrens status, så skal denne opdatering være synlig for alle relevante parter, herunder andre medarbejdere og kunden, hvis de tjekker status online."
"US-017 Se Ordredetaljer (medarbejder)","Som medarbejder, ønsker jeg at kunne se ordredetaljer om blomsterarrangementet, med det formål at kunne ekspedere ordrer korrekt og effektivt.","1 (green)","Sprint 2",,,
,,,,"Tasks","Udvikle en funktion, der viser fulde detaljer for hver ordre, inklusive specifikationer for blomsterarrangementet."
,,,,"Acceptance Criteria","Givet at en medarbejder behandler en ordre, når de tilgår ordren på systemet, så skal de kunne se alle relevante detaljer om blomsterarrangementet, som er nødvendige for at færdiggøre ordren korrekt."
"US-018 Ordreklargøring (medarbejder)","Som medarbejder, ønsker jeg at markere en ordre som klar til afhentning og fuldført, med det formål at administrere ordreflowet effektivt.","2 (lime)","Sprint 2",,,
,,,,"Tasks","Skab en funktion, hvor medarbejdere kan opdatere ordrens status til 'klar til afhentning' og senere 'afhentet'."
,,,,"Acceptance Criteria","Givet at en ordre er færdigpakket, når medarbejderen opdaterer systemet, så skal statussen ændres, så kunden og andre medarbejdere kan se, at ordren er klar eller afhentet."
"US-019 Ordreansvar (medarbejder)","Som medarbejder, ønsker jeg at kunne tildele en ordre til mig selv, med det formål at sikre ansvarsfordelingen for ordrehåndteringen.","2 (lime)","Sprint 3",,,
,,,,"Tasks","Udvikle et system, hvor medarbejdere kan tildele specifikke ordrer til sig selv for håndtering."
,,,,"Acceptance Criteria","Givet at en ordre skal behandles, når en medarbejder vælger ordren, så skal de kunne markere den som 'under behandling' af sig selv."
"US-020 Ordrefilter og -sortering (medarbejder)","Som medarbejder, ønsker jeg at filtrere og sortere ordrer, med det formål at få et overblik over ordrer, der er forfaldne eller som jeg er ansvarlig for.","3 (yellow)","Sprint 3",,,
,,,,"Acceptance Criteria","Givet at der er behov for at organisere ordrer, når medarbejderen anvender filter og sorteringsfunktionerne, så skal de kunne se en organiseret liste over ordrer."
,,,,"Tasks","Implementere filter og sorteringsfunktioner i ordreoversigten."
"US-021 Speciel Ordre Funktion (Bedemand)","Som bedemand, ønsker jeg at kunne bestille specialdesignet blomsterarrangement direkte via en dedikeret side, med det formål at effektivisere bestillingsprocessen for begravelsesarrangementer.","3 (yellow)","Sprint 3",,,
,,,,"Acceptance Criteria","Givet at en bedemand er logget ind, når de tilgår den dedikerede side, så skal de kunne vælge og tilpasse blomsterarrangementer specielt designet til begravelser."
,,,,"Tasks","Opret en dedikeret side for bedemænd med tilpassede bestillingsmuligheder."
"US-022 Produktfiltrering (Kunde)","Som kunde, ønsker jeg at kunne filtrere produkter på produktsiden, med det formål nemt at finde det rigtige produkt.","3 (yellow)","Sprint 3",,,
,,,,"Acceptance Criteria","Givet at en kunde søger efter et specifikt produkt, når de bruger filterfunktionerne, så skal de kunne se en filtreret liste af produkter, der matcher deres kriterier."
,,,,"Tasks","Oprette filter og sorteringsfunktioner i ordreoversigten."
"US-023 Navigation i Profil (Kunde)","Som kunde, ønsker jeg at kunne navigere nemt på mine profilsider, med det formål at brugeroplevelsen føles glidende og uforstyrret.","3 (yellow)","Sprint 3",,,
,,,,"Acceptance Criteria","Givet at en kunde ønsker at administrere sin profil, når de navigerer på deres profil, så skal de kunne gøre det uden forvirring eller forstyrrelser."
,,,,"Tasks","Design en brugervenlig og intuitiv grænseflade for kundens profilområde."
"US-024 Ordreopfølgning (Kunde)","Som kunde, ønsker jeg at kunne spore status for min ordre, med det formål at holde mig opdateret om leveringstidspunktet.","3 (yellow)","Sprint 3",,,
,,,,"Tasks","Implementer en funktion til ordreopfølgning på kundens profilside."
,,,,"Tasks","Dashboard til kunden, så de kan se alle deres ordre"
,,,,"Acceptance Criteria","Givet at kunden har afgivet en ordre, når de logger ind og tjekker deres ordrestatus, så skal de kunne se den aktuelle status og forventet leveringstidspunkt."
"US-025 Opret Nyt Produkt (medarbejder/Administrator)","Som medarbejder/administrator, ønsker jeg at kunne oprette et nyt produkt, med det formål at holde produktkataloget opdateret med nye varer.","3 (yellow)","Sprint 3",,,
,,,,"Acceptance Criteria","Givet at webshoppen skal have nye produkter tilføjet, når medarbejder/administrator indtaster produktdetaljerne og uploader billeder, så skal det nye produkt være tilgængeligt i webshoppen."
,,,,"Tasks","Skabe en tilføj produkt-funktion på webshoppen for medarbejdere og administratorer."
"US-026 Produktopdatering (medarbejder)","Som medarbejder, ønsker jeg at opdatere produkter, med det formål at styre lagerbeholdningen.","3 (yellow)","Sprint 3",,,
,,,,"Tasks","Udvikle et interface til opdatering af produktinformationer og lagerstatus."
,,,,"Acceptance Criteria","Givet at et produkt behøver en opdatering, når medarbejderen ændrer informationen i systemet, så skal disse ændringer være synlige på webshoppen."
"US-027 Deaktiver Produkt (medarbejder/Administrator)","Som medarbejder/administrator, ønsker jeg at kunne deaktivere et produkt, med det formål at fjerne gamle produkter fra produktkataloget.","5 (orange)","Sprint 3",,,
,,,,"Tasks","Implementer en funktion til at deaktivere produkter i produktoversigten."
,,,,"Acceptance Criteria","Givet at et produkt ikke længere skal sælges, når medarbejder/administrator deaktiverer produktet i systemet, så skal produktet ikke længere være synligt for kunder."
"US-028 Genskabe Produkt (medarbejder)","Som medarbejder, ønsker jeg at kunne se deaktiverede produkter og genaktivere dem, med det formål at administrere produktkataloget.","5 (orange)","Sprint 4",,,
,,,,"Tasks","Tilføje en funktion til at se og reaktivere deaktiverede produkter."
,,,,"Acceptance Criteria","Givet at et produkt tidligere er blevet deaktiveret, når medarbejderen ønsker at genaktivere det, så skal produktet igen kunne vises og sælges på hjemmesiden."
"US-029 Leveringsvalg (Bedemand)","Som bedemand, ønsker jeg at kunne vælge leveringssted og -tid, med det formål at kunne drive min forretning.","5 (orange)","Sprint 4",,,
,,,,"Tasks","Skabe et brugerinterface, hvor bedemænd kan vælge leveringsdetaljer ved bestilling."
,,,,"Acceptance Criteria","Givet at en bedemand laver en bestilling, når de indtaster leveringsoplysninger, så skal disse oplysninger anvendes til ordren."
"US-030 Tekstsøgning efter Produkter (Kunde)","Som kunde, ønsker jeg at søge efter produkter med tekst, med det formål at hurtigt finde, hvad jeg har i tankerne.","8 (red)","Sprint 4",,,
,,,,"Tasks","Integrer en søgefunktion i webshoppen, som tillader tekstbaseret søgning."
,,,,"Acceptance Criteria","Givet at en kunde ved, hvad de leder efter, når de indtaster søgekriterier, så skal de præsenteres for relevante produktresultater."
"US-031 Visning af Søgeresultater (Bruger)","Som bruger, ønsker jeg at kunne se mine søgeresultater, med det formål at kunne vælge et produkt fra resultaterne.","2 (lime)","Sprint 4",,,
,,,,"Tasks","Skabe en visning, der effektivt præsenterer resultaterne af en produktsøgning."
,,,,"Acceptance Criteria","Givet at en bruger har foretaget en søgning, når søgeresultaterne vises, så skal de være klare og lette at navigere i."
"US-032 Sortering og Filtrering af Søgeresultater (Bruger)","Som bruger, ønsker jeg at kunne sortere og filtrere søgeresultaterne efter en produktsøgning, med det formål bedre at finde det, jeg leder efter.","8 (red)","Sprint 4",,,
,,,,"Tasks","Tilføj sortering og filtreringsmuligheder til søgeresultatsiden. Bl.a. Fritekst søgning."
,,,,"Acceptance Criteria","Givet at en bruger har udført en søgning og ser på resultaterne, når de anvender filtrerings og sorteringsfunktionerne, så skal listen over produkter opdatere sig i henhold til de valgte kriterier."
"US-033 Kurvindikator (Kunde)","Som kunde, ønsker jeg at se antallet af produkter i min kurv uden at være på kurvsiden, med det formål at kunne holde styr på mine valgte varer med lethed.","3 (yellow)","Sprint 5",,,
,,,,"Tasks","Tilføj en indikator på hjemmesiden, der viser antal produkter i kurven."
,,,,"Acceptance Criteria","Givet at en kunde har tilføjet produkter til deres kurv, når de navigerer væk fra kurvsiden, så skal de stadig kunne se en indikator med antal produkter i kurven."
"US-034 Automatiske notifikationer (medarbejder)","Som medarbejder, ønsker jeg at modtage automatiske notifikationer om nye ordrer, med det formål at kunne påbegynde ordrebehandling så hurtigt som muligt.","5 (orange)","Sprint 5",,,
,,,,"Tasks","Implementer en notifikationsfunktion, der alarmerer medarbejdere om nye ordrer via e-mail eller systempopup."
,,,,"Acceptance Criteria","Givet at en ny ordre er afgivet, når ordren registreres i systemet, så modtager relevante medarbejdere en notifikation."
"US-035 Salgsrapporter (Bestyrer)","Som bestyrer, ønsker jeg at kunne generere detaljerede salgsrapporter, med det formål at analysere salgstendenser og foretage datadrevne beslutninger.","8 (red)","Sprint 5",,,
,,,,"Tasks","Udvikle en funktion til at generere og eksportere salgsrapporter i administrationspanelet."
,,,,"Acceptance Criteria","Givet at en bestyrer ønsker at se salgsdata, når de vælger rapporteringsperioden og genererer rapporten, så præsenteres de for en detaljeret rapport over salg fordelt på produkter, kategorier og tidspunkter."
"US-036 Automatisk Fakturering (Bedemand)","Som bedemand, ønsker jeg automatisk at modtage en faktura ved bestilling, med det formål at forenkle regnskabsprocessen.","5 (orange)","Sprint 5",,,
,,,,"Tasks","Udvikle en automatisk faktureringsproces, der sender fakturaer direkte til bedemandens e-mail efter ordreafgivelse."
,,,,"Acceptance Criteria","Givet at en bedemand afgiver en bestilling, når ordren er bekræftet, så modtager de en faktura via e-mail."
"US-037 Slet Bruger (Admin)","Som administrator, ønsker jeg at kunne slette en bruger, med det formål at kunne administrere medarbejdere, bedemænd og kunder.","2 (lime)","Sprint 5",,,
,,,,"Tasks","Implementer en slet-funktion i adminpanelet for brugere. Denne må ikke Cascade slette, så Ordre bliver slettet."
,,,,"Acceptance Criteria","Givet at en bruger ikke længere skal have adgang til systemet, når administratoren sletter brugeren, så skal brugerens konto ikke længere være aktiv eller tilgængelig."
"US-038 Slette personlige oplysninger (Kunde)","Som kunde vil jeg kunne slette mine personlige oplysninger, så jeg kan sikre, at de ikke længere er tilgængelige.","5 (orange)","Sprint 5",,,
,,,,"Acceptance Criteria","Givet at en en kunde vil slette sine oplysninger, når kunden ønsker det, så bliver de berørte oplysninger slettet, men uden at påvirke bl.a. butikkens regnskabspligt"
,,,,"Tasks","Oprette funktion, hvor kundens oplysninger bliver slettet"
,,,,"Tasks","Bevar en GUID, så butikkens oversigt over ordre ikke bliver påvirket"
