Card Name,Card Description,Labels,Checklist,Checklist item
,,,Acceptance Criteria,"Givet at en ordre er færdigpakket, *når* medarbejderen opdaterer systemet, *så* skal statussen ændres, så kunden og andre medarbejdere kan se, at ordren er klar eller afhentet."
US 20 Ændre Ordre i Kurv (Bruger),"*Som* bruger, *Ønsker jeg* at ændre mængden af produkter i min kurv, *Med det formål* at justere min bestilling før køb.",3 (yellow),,
,,,Tasks,"Implementer en redigeringsfunktion i kurven, hvor brugeren kan opdatere antallet eller fjerne produkter fra kurven."
,,,Acceptance Criteria,"Givet at en bruger ønsker at ændre sin bestilling, *når* de besøger kurvsiden, *så* skal de kunne ændre antallet af produkter eller fjerne dem fra kurven."
US 21 Slet Bruger (Admin),"*Som* administrator, *Ønsker jeg* at kunne slette en bruger, *Med det formål* at kunne administrere medarbejdere, bedemænd og kunder.",3 (yellow),,
,,,Tasks,Implementer en slet-funktion i adminpanelet for brugere.
,,,Acceptance Criteria,"Givet at en bruger ikke længere skal have adgang til systemet, *når* administratoren sletter brugeren, *så* skal brugerens konto ikke længere være aktiv eller tilgængelig."
US 22 Produktopdatering (Medarbejder),"*Som* medarbejder, *Ønsker jeg* at opdatere produkter, *Med det formål* at styre lagerbeholdningen.",3 (yellow),,
,,,Tasks,Udvikle et interface til opdatering af produktinformationer og lagerstatus.
,,,Acceptance Criteria,"Givet at et produkt behøver en opdatering, *når* medarbejderen ændrer informationen i systemet, *så* skal disse ændringer være synlige på webshoppen."
US 23 Opret Nyt Produkt (Medarbejder/Administrator),"*Som* medarbejder/administrator, *Ønsker jeg* at kunne oprette et nyt produkt, *Med det formål* at holde produktkataloget opdateret med nye varer.",3 (yellow),,
,,,Tasks,Skabe en tilføj produkt-funktion på webshoppen for medarbejdere og administratorer.
,,,Acceptance Criteria,"Givet at webshoppen skal have nye produkter tilføjet, *når* medarbejder/administrator indtaster produktdetaljerne og uploader billeder, *så* skal det nye produkt være tilgængeligt i webshoppen."
US 24 Deaktiver Produkt (Medarbejder/Administrator),"*Som* medarbejder/administrator, *Ønsker jeg* at kunne deaktivere et produkt, *Med det formål* at fjerne gamle produkter fra produktkataloget.",3 (yellow),,
,,,Tasks,Implementer en funktion til at deaktivere produkter i produktoversigten.
,,,Acceptance Criteria,"Givet at et produkt ikke længere skal sælges, *når* medarbejder/administrator deaktiverer produktet i systemet, *så* skal produktet ikke længere være synligt for kunder."
US 25 Ordrefilter og -sortering (Medarbejder),"*Som* medarbejder, *Ønsker jeg* at filtrere og sortere ordrer, *Med det formål* at få et overblik over ordrer, der er forfaldne eller som jeg er ansvarlig for.",3 (yellow),,
,,,Tasks,Implementere filter og sorteringsfunktioner i ordreoversigten.
,,,Acceptance Criteria,"Givet at der er behov for at organisere ordrer, *når* medarbejderen anvender filter og sorteringsfunktionerne, *så* skal de kunne se en organiseret liste over ordrer."
US 26 Produktfiltrering (Kunde),"*Som* kunde, *Ønsker jeg* at kunne filtrere produkter på produktsiden, *Med det formål* nemt at finde det rigtige produkt.",3 (yellow),,
,,,Tasks,Oprette filter og sorteringsfunktioner i ordreoversigten.
,,,Acceptance Criteria,"Givet at en kunde søger efter et specifikt produkt, *når* de bruger filterfunktionerne, *så* skal de kunne se en filtreret liste af produkter, der matcher deres kriterier."
US 27 Ordrenotifikationer (Medarbejder),"*Som* medarbejder, *Ønsker jeg* at modtage en notifikation fra systemet, når en ny ordre indsendes, *Med det formål* at kunne ekspedere ordren hurtigt.",3 (yellow),,
,,,Tasks,Implementere et system til at sende automatisk notifikation til medarbejderne om nye ordrer.
,,,Acceptance Criteria,"Givet at en ny ordre er indsendt, *når* systemet registrerer ordren, *så* skal medarbejderne modtage en notifikation."
US 28 Leveringsvalg (Bedemand),"*Som* bedemand, *Ønsker jeg* at kunne vælge leveringssted og -tid, *Med det formål* at kunne drive min forretning.",3 (yellow),,
,,,Tasks,"Skabe et brugerinterface, hvor bedemænd kan vælge leveringsdetaljer ved bestilling."
,,,Acceptance Criteria,"Givet at en bedemand laver en bestilling, *når* de indtaster leveringsoplysninger, *så* skal disse oplysninger anvendes til ordren."
US 29 Genskabe Produkt (Medarbejder),"*Som* medarbejder, *Ønsker jeg* at kunne se deaktiverede produkter og genaktivere dem, *Med det formål* at administrere produktkataloget.",3 (yellow),,
,,,Tasks,Tilføje en funktion til at se og reaktivere deaktiverede produkter.
,,,Acceptance Criteria,"Givet at et produkt tidligere er blevet deaktiveret, *når* medarbejderen ønsker at genaktivere det, *så* skal produktet igen kunne vises og sælges på hjemmesiden."
US 30 Kurvindikator (Kunde),"*Som* kunde, *Ønsker jeg* at se antallet af produkter i min kurv uden at være på kurvsiden, *Med det formål* at kunne holde styr på mine valgte varer med lethed.",3 (yellow),,
,,,Tasks,"Tilføj en indikator på hjemmesiden, der viser antal produkter i kurven."
,,,Acceptance Criteria,"Givet at en kunde har tilføjet produkter til deres kurv, *når* de navigerer væk fra kurvsiden, *så* skal de stadig kunne se en indikator med antal produkter i kurven."
US 31 Tekstsøgning efter Produkter (Kunde),"*Som* kunde, *Ønsker jeg* at søge efter produkter med tekst, *Med det formål* at hurtigt finde, hvad jeg har i tankerne.",3 (yellow),,
,,,Tasks,"Integrer en søgefunktion i webshoppen, som tillader tekstbaseret søgning."
,,,Acceptance Criteria,"Givet at en kunde ved, hvad de leder efter, *når* de indtaster søgekriterier, *så* skal de præsenteres for relevante produktresultater."
US 32 Sortering og Filtrering af Søgeresultater (Bruger),"*Som* bruger, *Ønsker jeg* at kunne sortere og filtrere søgeresultaterne efter en produktsøgning, *Med det formål* bedre at finde det, jeg leder efter.",3 (yellow),,
,,,Tasks,Tilføj sortering og filtreringsmuligheder til søgeresultatsiden.
,,,Acceptance Criteria,"Givet at en bruger har udført en søgning og ser på resultaterne, *når* de anvender filtrerings og sorteringsfunktionerne, *så* skal listen over produkter opdatere sig i henhold til de valgte kriterier."
US 33 Log Ind på Ordreportal (Medarbejder),"*Som* medarbejder, *Ønsker jeg* at kunne logge ind på ordreportalen, *Med det formål* at kunne ekspedere ordrer.",3 (yellow),,
,,,Tasks,Implementer en sikker log ind-funktion specifikt for medarbejdere på ordreportalen.
,,,Acceptance Criteria,"Givet at en medarbejder står foran sin arbejdsstation, *når* de indtaster deres legitimationsoplysninger, *så* skal de have adgang til ordreportalen, hvor de kan administrere ordrer."
US 34 Se Ordredetaljer (Medarbejder),"*Som* medarbejder, *Ønsker jeg* at kunne se ordredetaljer om blomsterarrangementet, *Med det formål* at kunne ekspedere ordrer korrekt og effektivt.",3 (yellow),,
,,,Tasks,"Udvikle en funktion, der viser fulde detaljer for hver ordre, inklusive specifikationer for blomsterarrangementet."
,,,Acceptance Criteria,"Givet at en medarbejder behandler en ordre, *når* de tilgår ordren på systemet, *så* skal de kunne se alle relevante detaljer om blomsterarrangementet, som er nødvendige for at færdiggøre ordren korrekt."
US 35 Opdatere Ordrestatus (Medarbejder),"*Som* medarbejder, *Ønsker jeg* at kunne opdatere ordrestatus, *Med det formål* at tydeliggøre for alle brugere, hvor langt ordren er i processen.",3 (yellow),,
,,,Tasks,"Skabe en funktion, der tillader medarbejdere at opdatere status for en ordre i realtid."
,,,Acceptance Criteria,"Givet at en ordre er i gang med at blive ekspederet, *når* medarbejderen opdaterer ordrens status, *så* skal denne opdatering være synlig for alle relevante parter, herunder andre medarbejdere og kunden, hvis de tjekker status online."
US 36 Visning af Søgeresultater (Bruger),"*Som* bruger, *Ønsker jeg* at kunne se mine søgeresultater, *Med det formål* at kunne vælge et produkt fra resultaterne.",3 (yellow),,
,,,Tasks,"Skabe en visning, der effektivt præsenterer resultaterne af en produktsøgning."
,,,Acceptance Criteria,"Givet at en bruger har foretaget en søgning, *når* søgeresultaterne vises, *så* skal de være klare og lette at navigere i."
US 37 Navigation i Profil (Kunde),"*Som* kunde, *Ønsker jeg* at kunne navigere nemt på mine profilsider, *Med det formål* at brugeroplevelsen føles glidende og uforstyrret.",3 (yellow),,
,,,Tasks,Design en brugervenlig og intuitiv grænseflade for kundens profilområde.
,,,Acceptance Criteria,"Givet at en kunde ønsker at administrere sin profil, *når* de navigerer på deres profil, *så* skal de kunne gøre det uden forvirring eller forstyrrelser."
